# wavelength[A] tau flux flux_error
1.150990e+03 1.560448e-02 9.845166e-01 9.922281e-02
1.151000e+03 1.560489e-02 9.845162e-01 9.922279e-02
1.151010e+03 1.560530e-02 9.845158e-01 9.922277e-02
1.151020e+03 1.560570e-02 9.845154e-01 9.922275e-02
1.151030e+03 1.560611e-02 9.845150e-01 9.922273e-02
1.151040e+03 1.560652e-02 9.845146e-01 9.922271e-02
1.151050e+03 1.560692e-02 9.845142e-01 9.922269e-02
1.151060e+03 1.560733e-02 9.845138e-01 9.922267e-02
1.151070e+03 1.560774e-02 9.845134e-01 9.922265e-02
1.151080e+03 1.560814e-02 9.845130e-01 9.922263e-02
1.151090e+03 1.560855e-02 9.845126e-01 9.922261e-02
1.151100e+03 1.560896e-02 9.845122e-01 9.922259e-02
1.151110e+03 1.560936e-02 9.845118e-01 9.922257e-02
1.151120e+03 1.560977e-02 9.845114e-01 9.922255e-02
1.151130e+03 1.561018e-02 9.845110e-01 9.922253e-02
1.151140e+03 1.561058e-02 9.845106e-01 9.922251e-02
1.151150e+03 1.561099e-02 9.845102e-01 9.922249e-02
1.151160e+03 1.561140e-02 9.845098e-01 9.922247e-02
1.151170e+03 1.561180e-02 9.845094e-01 9.922245e-02
1.151180e+03 1.561221e-02 9.845090e-01 9.922243e-02
1.151190e+03 1.561262e-02 9.845086e-01 9.922241e-02
1.151200e+03 1.561303e-02 9.845082e-01 9.922239e-02
1.151210e+03 1.561343e-02 9.845078e-01 9.922237e-02
1.151220e+03 1.561384e-02 9.845074e-01 9.922235e-02
1.151230e+03 1.561425e-02 9.845070e-01 9.922233e-02
1.151240e+03 1.561465e-02 9.845066e-01 9.922231e-02
1.151250e+03 1.561506e-02 9.845062e-01 9.922229e-02
1.151260e+03 1.561547e-02 9.845058e-01 9.922227e-02
1.151270e+03 1.561587e-02 9.845054e-01 9.922225e-02
1.151280e+03 1.561628e-02 9.845050e-01 9.922223e-02
1.151290e+03 1.561669e-02 9.845046e-01 9.922221e-02
1.151300e+03 1.561709e-02 9.845042e-01 9.922219e-02
1.151310e+03 1.561750e-02 9.845038e-01 9.922217e-02
1.151320e+03 1.561791e-02 9.845034e-01 9.922215e-02
1.151330e+03 1.561831e-02 9.845030e-01 9.922213e-02
1.151340e+03 1.561872e-02 9.845026e-01 9.922211e-02
1.151350e+03 1.561913e-02 9.845022e-01 9.922209e-02
1.151360e+03 1.561954e-02 9.845018e-01 9.922206e-02
1.151370e+03 1.561994e-02 9.845014e-01 9.922204e-02
1.151380e+03 1.562035e-02 9.845010e-01 9.922202e-02
1.151390e+03 1.562076e-02 9.845006e-01 9.922200e-02
1.151400e+03 1.562116e-02 9.845002e-01 9.922198e-02
1.151410e+03 1.562157e-02 9.844998e-01 9.922196e-02
1.151420e+03 1.562198e-02 9.844994e-01 9.922194e-02
1.151430e+03 1.562238e-02 9.844990e-01 9.922192e-02
1.151440e+03 1.562279e-02 9.844986e-01 9.922190e-02
1.151450e+03 1.562320e-02 9.844982e-01 9.922188e-02
1.151460e+03 1.562361e-02 9.844978e-01 9.922186e-02
1.151470e+03 1.562401e-02 9.844974e-01 9.922184e-02
1.151480e+03 1.562442e-02 9.844970e-01 9.922182e-02
1.151490e+03 1.562483e-02 9.844966e-01 9.922180e-02
1.151500e+03 1.562523e-02 9.844962e-01 9.922178e-02
1.151510e+03 1.562564e-02 9.844958e-01 9.922176e-02
1.151520e+03 1.562605e-02 9.844954e-01 9.922174e-02
1.151530e+03 1.562646e-02 9.844950e-01 9.922172e-02
1.151540e+03 1.562686e-02 9.844946e-01 9.922170e-02
1.151550e+03 1.562727e-02 9.844942e-01 9.922168e-02
1.151560e+03 1.562768e-02 9.844938e-01 9.922166e-02
1.151570e+03 1.562808e-02 9.844934e-01 9.922164e-02
1.151580e+03 1.562849e-02 9.844930e-01 9.922162e-02
1.151590e+03 1.562890e-02 9.844926e-01 9.922160e-02
1.151600e+03 1.562931e-02 9.844922e-01 9.922158e-02
1.151610e+03 1.562971e-02 9.844918e-01 9.922156e-02
1.151620e+03 1.563012e-02 9.844914e-01 9.922154e-02
1.151630e+03 1.563053e-02 9.844910e-01 9.922152e-02
1.151640e+03 1.563093e-02 9.844906e-01 9.922150e-02
1.151650e+03 1.563134e-02 9.844902e-01 9.922148e-02
1.151660e+03 1.563175e-02 9.844898e-01 9.922146e-02
1.151670e+03 1.563216e-02 9.844894e-01 9.922144e-02
1.151680e+03 1.563256e-02 9.844890e-01 9.922142e-02
1.151690e+03 1.563297e-02 9.844886e-01 9.922140e-02
1.151700e+03 1.563338e-02 9.844882e-01 9.922138e-02
1.151710e+03 1.563378e-02 9.844878e-01 9.922136e-02
1.151720e+03 1.563419e-02 9.844874e-01 9.922134e-02
1.151730e+03 1.563460e-02 9.844870e-01 9.922132e-02
1.151740e+03 1.563501e-02 9.844866e-01 9.922130e-02
1.151750e+03 1.563541e-02 9.844862e-01 9.922128e-02
1.151760e+03 1.563582e-02 9.844858e-01 9.922126e-02
